"","Incident Date","State","City Or County","Address","Killed","Injured"
"367",2015-05-24,"Missouri","Saint Louis","2700 block of Dayton",0,4
"368",2015-05-23,"California","Fresno","2400 block of South 9th Street",2,2
"369",2015-05-20,"Maryland","Baltimore","800 block of Linwood Avenue",1,4
"370",2015-05-18,"Missouri","Kinloch","8000 block of School Way",0,4
"371",2015-05-18,"Florida","Miami","Northwest 75th Street and Northwest 16th Avenue",1,4
"372",2015-05-17,"Texas","Waco","4671 S Jack Kultgen Expy",9,18
"373",2015-05-16,"Wisconsin","Milwaukee","28th Street and Auer Avenue",0,5
"374",2015-05-16,"New York","Rochester","188 Lewis Street",0,4
"375",2015-05-16,"Maryland","Baltimore","1700 block of North Broadway",0,5
"376",2015-05-12,"Maryland","Capitol Heights","Pard Road",1,4
"377",2015-05-12,"Arizona","Tucson","800 block of West Calle Medina Road",5,0
"378",2015-05-10,"Ohio","Cleveland","3600 block of Bosworth Road",1,4
"379",2015-05-10,"New Jersey","Jersey City","Bostwick Avenue",0,4
"380",2015-05-10,"New Jersey","Newark","19th Avenue and South 16th Street",1,3
"381",2015-05-07,"Ohio","Cincinnati","2300 block of Baltimore Avenue",0,4
"382",2015-05-04,"New York","Buffalo","100 block of Roosevelt Avenue",1,3
"383",2015-05-03,"Indiana","South Bend","1600 block of South William Street",0,4
"384",2015-05-03,"Wisconsin","Menasha","North Lake Street",4,1
"385",2015-05-03,"Texas","Houston","San Jacinto at Elgin",0,6
"386",2015-05-03,"New York","Bronx","University Avenue",0,4
"387",2015-05-03,"Ohio","Dayton","2801 Germantown Street",1,6
"388",2015-05-01,"Wisconsin","Milwaukee","3700 block of 37th Street",2,3
"389",2015-04-27,"New York","Brooklyn","1365 Flatbush Ave",2,4
"390",2015-04-27,"Arizona","Gila Bend","State Route 85",2,2
"391",2015-04-25,"New Jersey","Trenton","Wood Street",0,4
"392",2015-04-25,"New York","Gates","24 Hinchey Rd",1,6
"393",2015-04-21,"Texas","Killeen","420 Gilmer St.",2,3
"394",2015-04-19,"Virginia","Richmond","200 block of West Hill Street",0,4
"395",2015-04-18,"Pennsylvania","Williamsport","300 block of Pine Street",0,5
"396",2015-04-18,"Alabama","Montgomery","1800 block of Gibbs Court",0,5
"397",2015-04-18,"North Carolina","Lumberton","Martin Luther King Drive",1,3
"398",2015-04-18,"North Carolina","Charlotte","Bost Street",0,4
"399",2015-04-18,"New Jersey","Patterson","230 Rosa Parks Boulevard",1,3
"400",2015-04-16,"Arizona","Phoenix","4300 block of East Anderson Drive",5,0
"401",2015-04-07,"Georgia","Rome","20 Copeland Street",1,3
"402",2015-04-05,"Pennsylvania","Pittsburgh","Dinwiddie Street",1,3
"403",2015-04-05,"Kentucky","Louisville","40th and Grand Street",1,4
"404",2015-04-05,"Indiana","Indianapolis","5000 block of Wildflower Court",0,5
"405",2015-04-05,"Michigan","Benton Harbor","1000 block of Blossom Lane",0,4
"406",2015-04-03,"Florida","Daytona Beach","300 block of Henry Butts Drive",0,4
"407",2015-04-02,"Maryland","Baltimore","1900 block of West Lanvale Street",0,5
"408",2015-03-27,"Florida","Panama City Beach","5312 Thomas Drive",0,7
"409",2015-03-26,"Texas","Amarillo","3100 block of Redwood",0,4
"410",2015-03-24,"Indiana","Indianapolis","3100 block of North Harding Street",4,0
"411",2015-03-23,"Tennessee","Clarksville","900 block of Carpenter Street",1,4
"412",2015-03-22,"New Mexico","Albuquerque","10140 Lomas NE",1,6
"413",2015-03-21,"Florida","Tampa","1802 Seventh Ave",0,4
"414",2015-03-20,"Texas","Lancaster","1500 block of Reynolds Street",1,5
"415",2015-03-18,"New Jersey","Newark","200 block of Clinton Place",1,3
"416",2015-03-18,"Arizona","Mesa","1504 West Main Street",1,5
"417",2015-03-17,"California","Stockton","748 N Madison St",3,4
"418",2015-03-15,"California","Compton","2700 block of West Alondra Boulevard",0,4
"419",2015-03-14,"Georgia","Atlanta","2900 block of Delmar Lane",0,5
"420",2015-03-14,"California","Coachella","84000 block of Bagdad Avenue",0,4
"421",2015-03-13,"Mississippi","Brookhaven","1097 South First St.",2,3
"422",2015-03-10,"Georgia","Columbus","3023 Victory Drive",0,5
"423",2015-03-09,"Illinois","Chicago","200 block of West 105th",1,3
"424",2015-03-08,"South Carolina","Seneca","Wells Highway",1,3
"425",2015-03-04,"California","San Bernardino","190 block of West Club Center Drive",2,5
"426",2015-03-01,"Florida","Orange County","4900 block of Steyr Street",0,4
"427",2015-03-01,"Michigan","Detroit","9855 Chalmers St",1,5
"428",2015-02-28,"Maryland","Baltimore","4300 block of Welbourne Road",1,3
"429",2015-02-26,"Missouri","Tyrone","18279 Highway H",8,1
"430",2015-02-25,"Texas","Houston","Mallow St.",3,3
"431",2015-02-22,"Texas","Killeen","1706 Godman St.",4,1
"432",2015-02-22,"Georgia","Clarkesville","281 Lower Pond Court",3,2
"433",2015-02-22,"South Carolina","Charleston","4224 Dorchester Road",0,4
"434",2015-02-20,"California","Sacramento","1417 R Street",0,4
"435",2015-02-17,"Arkansas","Little Rock","7900 Scott Hamilton",1,3
"436",2015-02-15,"California","Long Beach","200 block of W. 14th Street",0,5
"437",2015-02-09,"Florida","New Port Richey","9552 Adler Street",3,1
"438",2015-02-08,"Tennessee","Maury City","251 Dupree Road",0,6
"439",2015-02-07,"Georgia","Douglasville","3640 Willow Tree Circle",5,2
"440",2015-02-06,"Oklahoma","Tulsa","1219 N. Sheridan Road",1,4
"441",2015-02-05,"Ohio","Beachwood (Warrensville Heights)","Harvard Road",3,3
"442",2015-02-01,"New York","Syracuse","1217 West Fayette Street",0,6
"443",2015-02-01,"New York","New York (Manhattan)","3345 Broadway",1,4
"444",2015-01-31,"Georgia","Lagrange","100 block of Woodstream Trail",4,0
"445",2015-01-28,"Georgia","Dekalb County","1600 block of Panola Road",1,3
"446",2015-01-26,"California","Stockton","1500 block of E. 9th Street",1,3
"447",2015-01-24,"New York","Arverne (Queens)","231-11 148th Avenue",4,1
"448",2015-01-24,"Nebraska","Omaha","3402 Parker St",3,5
"449",2015-01-23,"Massachusetts","Boston","954 Parker Street",0,6
"450",2015-01-20,"Tennessee","Clarksville","321 Lansinger Lane",1,3
"451",2015-01-19,"Texas","San Antonio","1000 block of Gibbs St.",2,5
"452",2015-01-16,"California","Oakland","105th and Edes",2,2
"453",2015-01-13,"Virginia","Portsmouth","4100 block of Portsmouth Boulevard",0,5
"454",2015-01-13,"Illinois","Rockford","700 block of Oakley Avenue",2,2
"455",2015-01-11,"North Carolina","Hope Mills","1900 block of Gumberry Road",2,5
"456",2015-01-11,"Florida","Lakeland","7665 Chase Road",1,3
"457",2015-01-11,"California","San Jose","3840 Monterey Hwy",0,5
"458",2015-01-10,"Kansas","Wichita","4859 E Harry Street",2,2
"459",2015-01-09,"California","San Francisco","Laguna and Page streets",4,0
"460",2015-01-08,"Massachusetts","Boston","104 Harrishof Street",1,3
"461",2015-01-07,"Tennessee","Chattanooga","773 West Main Street",1,3
"462",2015-01-06,"Florida","Miami","1300 block of NW 62nd Street",1,3
"463",2015-01-04,"Virginia","Roanoke","3634 Shenandoah Ave NW",2,4
"464",2015-01-04,"Texas","Dallas","2000 block of Ben Hur St.",3,1
"465",2015-01-02,"Georgia","Savannah","500 block of W. 54th Street",1,4
"466",2015-01-01,"Tennessee","Memphis","Interstate 240 and Poplar Avenue",0,5
"467",2014-12-31,"California","Los Angeles","81st Street and Western Avenue",1,3
"468",2014-12-29,"Louisiana","New Orleans","Poydras and Bolivar",0,4
"469",2014-12-27,"California","Los Angeles","8800 block of South Figueroa Street",1,3
"470",2014-12-27,"California","Sacramento","4000 block of May Street",0,4
"471",2014-12-26,"Illinois","East St. Louis","2500 block of Summit Avenue",1,3
"472",2014-12-24,"Missouri","Saint Louis","18th and Pine",1,3
"473",2014-12-23,"Kentucky","Winchester","260 Oxford Drive",1,3
"474",2014-12-22,"New York","Webster","191 Lake Road",3,2
"475",2014-12-22,"Michigan","Detroit","Charlevoix and Philip",1,3
"476",2014-12-22,"Illinois","Chicago","5700 block of South Green Street",0,5
"477",2014-12-21,"Florida","Sarasota","South Washington Boulevard",2,2
"478",2014-12-21,"Mississippi","Waynesboro","Central Avenue",1,4
"479",2014-12-21,"Illinois","Calumet City","600 block of Escanba",1,8
"480",2014-12-20,"Illinois","Rockford","3200 block of Montrose Avenue",4,0
"481",2014-12-16,"New Jersey","Elizabeth","Anna Street",0,4
"482",2014-12-14,"Florida","Miami","1311 Northwest 2nd Avenue",1,4
"483",2014-12-13,"Florida","Tampa","810 E. Skagway Ave.",0,5
"484",2014-12-12,"Oregon","Portland","717 North Killingsworth Court",0,4
"485",2014-12-12,"Georgia","Macon","2822 Bloomfield Drive",3,3
"486",2014-12-07,"Indiana","South Bend","16000 block of Roosevelt Road",0,4
"487",2014-12-02,"Missouri","Saint Louis","6000 block of Virginia Avenue",1,5
"488",2014-12-02,"Virginia","Newport News","6128 Jefferson Ave ",0,5
"489",2014-11-30,"New York","Brooklyn","375 Remsen Avenue",0,4
"490",2014-11-30,"Tennessee","Chattanooga","2412 East 13th Street ",0,5
"491",2014-11-29,"Georgia","Atlanta","1600 block of Richmond Avenue",3,2
"492",2014-11-29,"New Jersey","Newark","348 S Orange Ave",1,3
"493",2014-11-28,"Tennessee","Memphis","1849 East Brooks Road ",0,4
"494",2014-11-27,"Texas","Weir","County Road 934",2,3
"495",2014-11-26,"California","San Francisco","Mission and 13th streets",0,6
"496",2014-11-23,"Virginia","Accomack County","Parksley Road",0,4
"497",2014-11-23,"Colorado","Denver","Federal Boulevard and 16th Avenue",1,4
"498",2014-11-22,"Ohio","Cleveland","1400 block of East 92nd Street",4,1
"499",2014-11-22,"South Dakota","Sisseton","Fourth Avenue",4,1
"500",2014-11-22,"Ohio","Springfield","Clifton Avenue and Rice Street",1,3
"501",2014-11-21,"Pennsylvania","Pittsburgh","600 block of Miller Avenue",0,6
"502",2014-11-19,"Illinois","Chicago","700 block of North St. Louis Avenue",1,3
"503",2014-11-18,"Nevada","North Las Vegas","Englestad Street",0,4
"504",2014-11-16,"Ohio","Akron","1891 East Market Street",1,4
"505",2014-11-16,"Texas","El Paso","115 S. Durango",0,6
"506",2014-11-15,"Missouri","Springfield","2555 N. Glenstone",4,0
"507",2014-11-15,"Florida","Miami","NW 55th and 12th",1,3
"508",2014-11-08,"California","Pomona","499 E. Arrow Highway",0,5
"509",2014-11-07,"California","Compton","136th Street ",0,4
"510",2014-11-07,"California","Los Angeles","East 126th Street and North Compton Avenue",0,4
"511",2014-11-05,"California","San Francisco","1100 block of Alabama Street ",0,4
"512",2014-10-29,"Tennessee","Memphis","Yale Road and Ramill Road",0,5
"513",2014-10-26,"Kentucky","Cadiz","1410 Old Dover Road",4,0
"514",2014-10-24,"Washington","Marysville","5611 108th St Ne",5,1
"515",2014-10-24,"California","Sacramento","2030 Arden Way",2,3
"516",2014-10-18,"New York","Queens","33-02 Queens Blvd",0,4
"517",2014-10-18,"South Carolina","Graniteville","192 Breezy Hill Road",1,3
"518",2014-10-18,"New York","Brooklyn","Lenox Road",0,4
"519",2014-10-16,"Michigan","Detroit","Mogul Street",1,3
"520",2014-10-14,"Georgia","Peachtree Corners","6505 Bannor Lane",3,2
"521",2014-10-13,"Georgia","Atlanta","85 Mount Zion Road",0,4
"522",2014-10-12,"Georgia","Atlanta","Arthur Langford Jr Place",1,3
"523",2014-10-12,"California","Stockton","1100 block of East March Lane",3,1
"524",2014-10-11,"New York","Utica","222 Bleecker Street",0,5
"525",2014-10-08,"Georgia","Atlanta","Auburn Avenue and Edgewood Avenue",0,4
"526",2014-10-08,"New York","Guilderland","1846 Western Ave",4,0
"527",2014-10-05,"Florida","Jacksonville","7300 block of Linda Drive",3,1
"528",2014-10-05,"Michigan","Detroit","East 7 Mile Road and Sherwood Street",1,5
"529",2014-10-04,"Tennessee","Memphis","1400 block of Gherald Street",2,2
"530",2014-10-04,"California","Pomona","1925 West Holt Avenue ",0,4
"531",2014-09-29,"South Carolina","Walterboro","29 Sandy Dam Lane",1,7
"532",2014-09-29,"California","Fresno","2300 block of West Fountain Way ",0,4
"533",2014-09-28,"Pennsylvania","Philadelphia","2800 block of Hope Street",0,4
"534",2014-09-28,"Florida","Miami","NW 7th Ave and NW 64th Street",0,15
"535",2014-09-27,"Missouri","Saint Louis","2000 block East John Avenue",0,5
"536",2014-09-26,"South Carolina","Darlington County","600 block of Turner Road",1,4
"537",2014-09-21,"Ohio","East Liverpool","440 First St",0,4
"538",2014-09-20,"Mississippi","Panola County","N/A",2,2
"539",2014-09-19,"New York","Queens","32-14 106th St",0,4
"540",2014-09-18,"Florida","Bell","NW 30th Street and NW 39th Terrace",8,0
"541",2014-09-15,"Louisiana","New Orleans","Chef Menteur Highway and Dale Street",0,5
"542",2014-09-14,"Texas","Flour Bluff","229 Naval Air Station Drive",3,1
"543",2014-09-14,"Alaska","Anchorage","225 E Fifth",0,6
"544",2014-09-11,"Michigan","Detroit","14000 block of Patton",1,7
"545",2014-09-06,"Georgia","Macon","576 Poplar Street",0,5
"546",2014-09-06,"Florida","Orange County","South Orange Blossom Trail",0,4
"547",2014-09-04,"Michigan","Flint","2400 block of Martin Luther King Boulevard",0,5
"548",2014-09-03,"California","Los Angeles","East 27th and Stanford ",0,6
"549",2014-09-02,"California","Highland","25000 block of Fifth Street ",0,5
"550",2014-09-02,"Mississippi","Jackson","3622 Medgar Evers Boulevard",2,3
"551",2014-08-31,"California","Livermore","200 block of South Q Street ",0,5
"552",2014-08-29,"Florida","Brooksville","820 Peach St",3,1
"553",2014-08-27,"Michigan","Detroit","16600 block of Edmore",1,3
"554",2014-08-24,"Georgia","Augusta","1013 Carrie Street",1,3
"555",2014-08-24,"California","San Fernando","1400 block of Celis Street ",3,4
"556",2014-08-24,"Illinois","Chicago","8300 block of South Halsted Street",1,3
"557",2014-08-20,"Tennessee","Memphis","1400 block of Briarcrest Lane",0,5
"558",2014-08-18,"Louisiana","Saint Martinville","Main and Hyacinth streets",0,4
"559",2014-08-17,"Massachusetts","Boston","Edinboro Street",0,4
"560",2014-08-17,"California","East Palo Alto","Purdue Street and Georgetown Avenue",1,3
"561",2014-08-17,"Nevada","Las Vegas","Owens Avenue and H Street",0,4
"562",2014-08-17,"New York","Queens","153-38 118th Ave",0,4
"563",2014-08-16,"New Jersey","Plainfield","West 3rd Street and Monroe Avenue",1,3
"564",2014-08-16,"Utah","Salt Lake City","122 Pierpont Avenue",0,6
"565",2014-08-14,"Tennessee","Memphis","797 Pope Street",1,3
"566",2014-08-13,"Tennessee","Clarksville","Treeland Drive",0,4
"567",2014-08-13,"Louisiana","New Orleans","New Orleans and North Rocheblave streets",0,4
"568",2014-08-12,"New York","Buffalo","Oakmont Avenue",1,3
"569",2014-08-12,"Georgia","Bartow County","Brent Circle",2,3
"570",2014-08-10,"California","Moreno Valley","16300 block of Heather Glen Road ",0,7
"571",2014-08-10,"District of Columbia","Washington","N Street SW",0,6
"572",2014-08-10,"Georgia","Wrightsville","N/A",0,6
"573",2014-08-10,"Louisiana","New Orleans","5400 block of Burgundy Street",2,5
"574",2014-08-09,"Minnesota","Minneapolis","400 3rd Ave N",1,8
"575",2014-08-08,"New Mexico","Albuquerque","3426 Vassar NE",1,3
"576",2014-08-08,"District of Columbia","Washington","Second Street and Todd Place NE",0,4
"577",2014-08-08,"Wisconsin","Milwaukee","3000 block of N. 28th Street ",0,4
"578",2014-08-06,"California","Bakersfield","1700 block of Quincy Street ",3,1
"579",2014-08-04,"Georgia","Atlanta","1100 block of Joseph E. Boone Boulevard NW",0,5
"580",2014-08-03,"Missouri","Saint Louis","5200 block of Thekla ",0,5
"581",2014-08-03,"Virginia","Culpeper","4400 block of Rixeyville Road",5,0
"582",2014-08-03,"Tennessee","Columbia","East 9th Street and Bridge Street",0,5
"583",2014-08-03,"Texas","Spring","T.C Jester and FM 1960",0,7
"584",2014-08-02,"Texas","Dallas","5125 Wynell Street",3,1
"585",2014-08-02,"Massachusetts","New Bedford","Acushnet Avenue",0,7
"586",2014-08-02,"Pennsylvania","Pittsburgh","Penn Avenue and 29th Street",1,5
"587",2014-08-02,"Wisconsin","Beloit","1218 Henry Ave",1,3
"588",2014-08-01,"Pennsylvania","Philadelphia","1500 block of South Etting Street",1,3
"589",2014-07-30,"North Carolina","Fayetteville","Bramblegate Road",3,2
"590",2014-07-30,"North Carolina","Cumberland County","5100 New Moon Drive",3,3
"591",2014-07-28,"Pennsylvania","Philadelphia","4900 block of North Front Street",1,4
"592",2014-07-27,"Missouri","Saint Louis","2000 block of East John Avenue",0,5
"593",2014-07-26,"Georgia","Sylvester","Royal Street",0,8
"594",2014-07-26,"Maine","Saco","35 Water Street",5,0
"595",2014-07-26,"Arkansas","Pine Bluff","N/A",1,3
"596",2014-07-25,"Illinois","Chicago","700 South California Avenue",1,6
"597",2014-07-23,"Pennsylvania","North Braddock","700 block of Hickory Street",0,4
"598",2014-07-21,"New Jersey","Irvington","36 Welland Avenue",0,6
"599",2014-07-21,"Tennessee","Memphis","300 block of Foote Park Lane",0,4
"600",2014-07-20,"Illinois","Washington Park","5103 Bunkhum Road",1,3
"601",2014-07-20,"Nevada","Las Vegas","Rancho Drive 3400 block ",1,3
"602",2014-07-20,"Missouri","Saint Louis","5100 block of Bunkum Road",1,3
"603",2014-07-19,"Illinois","Chicago","1300 North Mason Avenue",0,4
"604",2014-07-14,"California","Sacramento","Fulton Avenue ",1,4
"605",2014-07-13,"Washington","Skyway","12600 Renton Avenue South ",0,5
"606",2014-07-13,"Connecticut","Stamford","84 West Park Place",0,5
"607",2014-07-13,"District of Columbia","Washington","1700 block of Lincoln Road NE",0,4
"608",2014-07-12,"California","Pasadena","1700 block of Summit Avenue",3,2
"609",2014-07-12,"California","Pasadena","1700 block of Summit Avenue",3,2
"610",2014-07-11,"Illinois","Chicago","5200 West Quincy Street",1,3
"611",2014-07-09,"Texas","Spring","711 Leaflet Lane",6,1
"612",2014-07-08,"Rhode Island","Providence","35 March Street",0,5
"613",2014-07-07,"California","San Bernardino","312  E Baseline Street ",1,4
"614",2014-07-07,"Kentucky","Stopover","KY 194E",0,4
"615",2014-07-06,"Florida","Miami-Dade","Northwest 20th Avenue and Northwest 62nd Street",2,2
"616",2014-07-06,"New York","Buffalo","100 block of Erb Street",0,4
"617",2014-07-06,"Missouri","Saint Louis","4600 block of Natural Bridge Avenue",0,4
"618",2014-07-05,"Michigan","Kalamazoo","N/A",0,4
"619",2014-07-05,"Illinois","Centreville","4700 Piggott Avenue",0,5
"620",2014-07-05,"Texas","Houston","1700 Almeda-Genoa",0,6
"621",2014-07-05,"Virginia","Norfolk","861 W. 36th Street",0,7
"622",2014-07-05,"Oregon","Portland","333 SE 122ND Ave",1,4
"623",2014-07-05,"Indiana","Indianapolis","Broad Ripple Avenue",0,7
"624",2014-07-04,"Virginia","Norfolk","1722 Thurgood Street",0,5
"625",2014-07-02,"Pennsylvania","Chester","1400 block of West Congress Street",0,5
"626",2014-07-02,"Pennsylvania","Chester","9th and Tilghman Streets",0,5
"627",2014-06-30,"Kentucky","Lexington","Scottsdale Circle",1,3
"628",2014-06-29,"California","Los Angeles","1100 block of North Vermont Avenue",1,5
"629",2014-06-29,"Louisiana","New Orleans","700 Bourbon Street",1,9
"630",2014-06-29,"Missouri","Saint Louis","2800 block of Dayton",0,4
"631",2014-06-28,"California","Antioch","5500 Cedar Point Way",0,7
"632",2014-06-28,"New York","Manhattan","Fifth Avenue and West 139th Street",0,4
"633",2014-06-27,"California","Imperial Beach","1600 block of Cathy Street",1,3
"634",2014-06-27,"California","San Diego","1600 block of Cathy Street",1,3
"635",2014-06-27,"Michigan","Detroit","Grand Street and Lasalle Street",2,2
"636",2014-06-26,"Wisconsin","Milwaukee","24th and Locust",0,5
"637",2014-06-26,"Michigan","Detroit","Grand St",2,2
"638",2014-06-25,"Massachusetts","Lowell","Midland Street",0,5
"639",2014-06-24,"Florida","Miami","Northwest 12th Avenue and 65th Street ",2,7
"640",2014-06-22,"California","Windsor","Windsor Avenue",1,3
"641",2014-06-21,"Tennessee","Memphis","2119 East Alcy Road",0,5
"642",2014-06-21,"District of Columbia","Washington Dc","Florida Avenue and U Street NW",0,4
"643",2014-06-20,"Maryland","Seat Pleasant","6600 block of Greig Street",0,4
"644",2014-06-15,"Illinois","Park Forest","200 Berry Street",0,4
"645",2014-06-15,"Indiana","Kokomo","5100 Clinton Drive",0,4
"646",2014-06-13,"California","Los Angeles","8600 block of South Figueroa Street",3,1
"647",2014-06-09,"New Jersey","Paterson","Rosa Parks Boulevard and Godwin Avenue",0,6
"648",2014-06-08,"Alabama","Opp","611 Hardin Street",1,4
"649",2014-06-07,"South Carolina","Moncks Corner","Tish Lane",1,5
"650",2014-06-07,"Michigan","Oak Park","10811 W. Ten Mile Rd.",1,3
"651",2014-06-03,"Georgia","Atlanta","Auburn Avenue",1,4
"652",2014-06-02,"Illinois","Chicago","2660 E. 79th St",0,7
"653",2014-06-01,"Illinois","Chicago","West Ferdinand Street and North Lavergne Avenue ",1,5
"654",2014-06-01,"California","Sacramento","6500 46th Street",0,4
"655",2014-05-31,"California","San Bernardino","N/A",1,3
"656",2014-05-25,"Ohio","Toledo","2100 block of Joffre Avenue",1,3
"657",2014-05-24,"Michigan","Detroit","Strathmoor Street",0,4
"658",2014-05-24,"South Carolina","Myrtle Beach","Ocean Boulevard near First Avenue North",3,1
"659",2014-05-23,"California","Goleta (Isla Vista)","840 Embarcadero Del Norte",4,8
"660",2014-05-23,"Louisiana","New Orleans","6200 block of Eads Street",1,7
"661",2014-05-23,"California","Bellflower","9541 Flower Street",2,2
"662",2014-05-21,"Texas","Dallas","4500 block of Village Fair Drive",1,3
"663",2014-05-18,"Ohio","Sandusky","1643 Cleveland Rd",0,7
"664",2014-05-17,"District of Columbia","Washington","2200 block of Adams Place NE",0,5
"665",2014-05-17,"California","Coachella","84000 block of Pedro Drive ",1,3
"666",2014-05-13,"Georgia","Atlanta","Panther Trail and Childress Drive",0,5
"667",2014-05-12,"Illinois","Chicago","3400 West 24th Street",0,4
"668",2014-05-11,"California","Sacramento","Peregrine Park",1,6
"669",2014-05-11,"Tennessee","Memphis","2517 Shasta",0,7
"670",2014-05-10,"Georgia","Stone Mountain","1100 To Lani Farm Road",1,3
"671",2014-05-10,"California","Sacramento","Natomas",1,6
"672",2014-05-10,"Georgia","Decatur","Shamrock Drive ",2,3
"673",2014-05-04,"Colorado","Wheat Ridge","12100 W 44th",0,4
"674",2014-05-04,"Illinois","Chicago","500 West Erie Street",1,3
"675",2014-05-03,"Arkansas","Jonesboro","2201 Moore Road; Dalton Farmer Drive; County Road 664",4,4
"676",2014-04-30,"Illinois","Chicago","7200 South Phillips Avenue",0,4
"677",2014-04-29,"Georgia","Kennesaw","1675 Airport Road",1,6
"678",2014-04-27,"New York","Troy","Fourth Street",0,5
"679",2014-04-25,"Tennessee","Memphis","2000 Chelsea Avenue",2,3
"680",2014-04-22,"California","Los Angeles","6419 Brynhurst Avenue",1,3
"681",2014-04-20,"Illinois","Chicago","6600 South Michigan Ave",0,5
"682",2014-04-20,"Illinois","Montgomery","1300 block of Jackson Street",0,6
"683",2014-04-20,"Florida","Tampa","2902 N. 32nd St.",2,2
"684",2014-04-14,"District of Columbia","Washington Dc","1500 block of 19th Street",0,4
"685",2014-04-12,"Louisiana","New Orleans","2100 block of Pauger Street",1,3
"686",2014-04-11,"Indiana","Richmond","North 15th and H Streets",0,4
"687",2014-04-09,"Illinois","Rockford","300 North Sunset",0,4
"688",2014-04-09,"Tennessee","Lookout Valley","Kellys Ferry Road and Kellys Ferry Place",3,1
"689",2014-04-07,"Louisiana","New Orleans","500 block of South Alexander Street",0,4
"690",2014-04-06,"Massachusetts","Springfield","90 Worthington St.",0,4
"691",2014-04-06,"Oklahoma","Oklahoma City","Northwest 29th Street and Portland Avenue",0,4
"692",2014-04-05,"Illinois","Chicago","4300 W Wilcox Street",1,5
"693",2014-04-05,"Arizona","Phoenix","West Palm Lane near 54th Avenue",1,3
"694",2014-04-05,"California","Fairfield","Orchid Street ",0,4
"695",2014-04-02,"Texas","Fort Hood","Motor Pool Road and Tank Destroyer Boulevard",4,16
"696",2014-03-30,"North Carolina","Charlotte","4300 Sunset Road",0,5
"697",2014-03-30,"Mississippi","Starkville","N/A",0,5
"698",2014-03-23,"Texas","Arlington","2700 Majesty Drive",1,3
"699",2014-03-23,"California","San Francisco","Turk and Taylor",0,7
"700",2014-03-23,"California","Long Beach","6th Street and Long Beach Boulevard",1,3
"701",2014-03-23,"California","Long Beach","601 Long Beach Boulevard",1,3
"702",2014-03-21,"South Carolina","North Charleston","7550 Dorchester Road",0,4
"703",2014-03-16,"Texas","Beaumont","Fourth Street",3,1
"704",2014-03-16,"Georgia","Waynesboro","4960 Highway 80 West ",0,4
"705",2014-03-14,"New York","Brooklyn","S. Second and Roebling Sts",0,4
"706",2014-03-09,"Texas","Austin"," 4900 block of West Race Avenue",0,6
"707",2014-03-09,"Ohio","Fremont","531 W State St",3,1
"708",2014-03-08,"California","Richmond","1600 block of First Street",1,3
"709",2014-03-08,"Illinois","Chicago","4900 West Race Ave",0,6
"710",2014-03-05,"South Carolina","Pelzer","Law Street",3,2
"711",2014-03-01,"Pennsylvania","Pittsburgh","Hamilton Avenue",1,4
"712",2014-03-01,"Michigan","Detroit","7800 Gratiot Av.",0,4
"713",2014-02-25,"Virginia","Glade Spring","Graceland Lane",5,1
"714",2014-02-22,"California","Harbor City","1200 block of West Papeete Street",0,4
"715",2014-02-20,"Indiana","Indianapolis","3400 block of South Parker",4,0
"716",2014-02-20,"California","Alturas","300 W 1st St",4,1
"717",2014-02-16,"Florida","Jacksonville","1187 S. Edgewood Ave.",1,4
"718",2014-02-16,"Texas","Dallas","2600 block of South Harwood Street",1,7
"719",2014-02-16,"Indiana","Fort Wayne","Lafayette Street and East Tillman Road",0,5
"720",2014-02-16,"Texas","Fort Worth"," 115 NW 25th St.",1,4
"721",2014-02-16,"Florida","Orange County","4500 block of Riviera Shores ",1,6
"722",2014-02-15,"Nevada","Las Vegas","Sahara and Maryland ",0,5
"723",2014-02-12,"Indiana","Gary","2220 block of South Broadway Av",0,5
"724",2014-02-12,"California","Stockton","Constitution Park",1,3
"725",2014-02-12,"California","Oakland","37th and International ",1,3
"726",2014-02-07,"Florida","Miami","Northwest 41st Street and 9th Avenue ",0,5
"727",2014-02-06,"Louisiana","New Orleans","4600 block of Downman Road",0,4
"728",2014-02-05,"Illinois","Chicago","6740 N. Clark St",1,3
"729",2014-02-03,"Indiana","Franklin","2100 block of Bridlewood Dr",3,2
"730",2014-01-27,"Washington","Seattle","2nd Avenue South and South Main Street",1,4
"731",2014-01-27,"North Carolina","Rocky Mount","Edwards Street ",0,4
"732",2014-01-25,"Illinois","Chicago","S. Union Av and W. 51st St",1,4
"733",2014-01-25,"Florida","Belle Glade","600 block of Covenant Drive",0,4
"734",2014-01-21,"New Jersey","Newark","Springfield Avenue ",2,3
"735",2014-01-20,"Virginia","Manassas","8509 Rixlew Ln",0,4
"736",2014-01-16,"Utah","Spanish Fork","37 N. 630 West ",5,0
"737",2014-01-16,"Oklahoma","Ardmore","N/A",2,4
"738",2014-01-14,"California","Los Angeles","West 86th Street",0,4
"739",2014-01-13,"Michigan","Detroit","800 block of Calvert St",0,4
"740",2014-01-12,"Illinois","Elgin","300 block of North Street",0,5
"741",2014-01-12,"Louisiana","Tallulah","N/A",0,6
"742",2014-01-12,"Alabama","Huntsville","University Drive",0,5
"743",2014-01-11,"Oregon","Portland","Southeast Stark and 99th ",0,5
"744",2014-01-11,"Texas","Tallulah","U.S. Highway 80 at the Madison and Richland Parish line",0,6
"745",2014-01-03,"New York","Queens","Farmers Boulevard and 133rd Avenue",1,3
