"","Incident Date","State","City Or County","Address","Killed","Injured"
"83",2016-03-19,"Florida","Plantation","12050 NW 4th Court",1,4
"84",2016-03-19,"Alabama","Wetumpka","South Shelby Street",2,2
"85",2016-03-15,"Georgia","Atlanta","Donald Lee Hollowell Drive",0,5
"86",2016-03-13,"Florida","Fort Myers","50 South Road",0,4
"87",2016-03-12,"Oregon","Portland","16126 S.E. Stark St.",0,4
"88",2016-03-12,"California","Oakland","Interstate 880",0,4
"89",2016-03-11,"Michigan","Detroit","2600 Block of Hazelwood",2,2
"90",2016-03-11,"New Jersey","Trenton","Oliver Avenue",0,5
"91",2016-03-09,"Pennsylvania","Pittsburgh (Wilkinsburg)","1304 Franklin Avenue",5,3
"92",2016-03-08,"Texas","San Antonio","Sherman Street",2,3
"93",2016-03-07,"Louisiana","Lafayette","800 block of Martin Luther King Jr. Drive",0,4
"94",2016-03-07,"Kansas","Kansas City","3000 block of South 36th Street",5,0
"95",2016-03-06,"Massachusetts","Chelsea","120 Washington Avenue",1,6
"96",2016-03-06,"Georgia","Roswell","890 Atlanta St",0,4
"97",2016-03-06,"California","Compton","900 block of West Victoria Street",1,8
"98",2016-03-05,"Kansas","Wichita","116 North Mead",0,4
"99",2016-03-04,"Ohio","Columbus","900 E. 5th Ave.",1,3
"100",2016-02-28,"Michigan","Detroit","8800 block of Livernois",0,5
"101",2016-02-28,"California","Riverside (Jurupa Valley)","5500 block of Etiwanda Avenue",1,3
"102",2016-02-27,"Virginia","Woodbridge (Lake Ridge)","13051 Lashmere Court",2,2
"103",2016-02-26,"Washington","Belfair","300 block of Horseshoe Rd.",5,0
"104",2016-02-25,"Kansas","Hesston","200 S Ridge Rd",4,14
"105",2016-02-23,"Arizona","Glendale","4812 West Sunnyside Ave",5,0
"106",2016-02-23,"Florida","Daytona Beach","1042 Sheridan Road",0,4
"107",2016-02-21,"Missouri","Hazelwood","Interstate Highway 270 and North Lindbergh Boulevard",1,3
"108",2016-02-21,"Texas","Houston","5100 block of Idaho Street",0,5
"109",2016-02-20,"Florida","Tampa","2810 E. Bearss Ave",1,3
"110",2016-02-20,"Alabama","Bessemer","200 block of Elm Street",1,3
"111",2016-02-20,"Florida","Orlando","446 S Parramore Ave",0,4
"112",2016-02-20,"Mississippi","Iuka","County Road 201",2,3
"113",2016-02-20,"Michigan","Kalamazoo","5581 Cracker Barrel Blvd",6,2
"114",2016-02-19,"California","Vallejo","509 Porter Street",1,3
"115",2016-02-14,"Texas","Houston","8449 Gulf Freeway",1,3
"116",2016-02-14,"Alabama","Eutaw (Union)","Earnest Friday Road",0,5
"117",2016-02-13,"Louisiana","Marrero","5425 Lapalco Boulevard",0,4
"118",2016-02-07,"Mississippi","Pass Christian","Davis Avenue",2,4
"119",2016-02-07,"Florida","Orlando","7432 Universal Blvd",2,10
"120",2016-02-07,"New York","Rochester","547 State street",1,7
"121",2016-02-07,"Illinois","Chicago (Englewood)","6500 block of South Green Street",0,4
"122",2016-02-06,"Florida","Tampa","8123 N Nebraska Ave",1,7
"123",2016-02-06,"California","Los Angeles","12800 block of Cook Street",1,3
"124",2016-02-06,"Florida","Apopka","10th Street",0,4
"125",2016-02-03,"District of Columbia","Washington","1500 block of Butler St. SE",0,4
"126",2016-01-30,"Colorado","Denver","4655 Humboldt St",1,3
"127",2016-01-30,"Arizona","Glendale","67th and Missouri Avenue",3,5
"128",2016-01-27,"Virginia","Chesapeake","1401 N. George Washington Hwy",6,0
"129",2016-01-26,"Washington","Seattle","Airport Way S. and S. Atlantic St.",2,3
"130",2016-01-25,"California","Perris","140 S. D Street",1,4
"131",2016-01-23,"California","Los Angeles","8105 Avalon Blvd",2,2
"132",2016-01-17,"Virginia","Ware Neck","Ditchley Road and Gill Lane",1,3
"133",2016-01-11,"Delaware","Wilmington","900 block of Brown Street",1,4
"134",2016-01-08,"Illinois","Chicago","1500 block of South Kedzie",1,4
"135",2016-01-07,"Tennessee","Memphis","3800 block of Kerwood Avenue",1,3
"136",2016-01-06,"Florida","Lakeland","2312 East Magnolia Street",3,1
"137",2015-12-31,"Louisiana","New Orleans","1900 Block of Amelia Street",0,6
"138",2015-12-27,"Tennessee","Jackson","North Parkway",0,4
"139",2015-12-26,"Pennsylvania","Philadelphia","4210 Macalester St",0,4
"140",2015-12-25,"Florida","Jacksonville","Franklin and Odessa",0,4
"141",2015-12-25,"Alabama","Mobile","785 Schillinger Rd S",0,4
"142",2015-12-21,"California","San Leandro","14600 block of East 14th Street",0,4
"143",2015-12-20,"North Carolina","Wilmington","11th and Castle Street",1,4
"144",2015-12-20,"Florida","Miami (Goulds)","21630 Southwest 120th Avenue",1,4
"145",2015-12-20,"Florida","Miami-dade (county)","Northeast Seventh Avenue and Northeast 166th Street",0,4
"146",2015-12-14,"Illinois","Lovejoy (Brooklyn)","307 Jefferson St",1,3
"147",2015-12-13,"California","Los Angeles","5550 S. Flower Street",1,3
"148",2015-12-13,"California","Huntington Beach","17000 block of Keelson Lane",0,4
"149",2015-12-12,"Georgia","Savannah","Whitaker Street",0,4
"150",2015-12-11,"Maryland","Baltimore","5100 block of Park Heights Avenue",1,3
"151",2015-12-11,"Pennsylvania","Pittsburgh (Mount Oliver)","200 Block of  Brownsville Road",0,4
"152",2015-12-08,"Ohio","Cincinnati (Fairmount)","2300 block of Baltimore Avenue",1,3
"153",2015-12-06,"Louisiana","Raceland","Market Street",1,3
"154",2015-12-06,"Nebraska","Omaha","North 108th Street and Military Road",2,3
"155",2015-12-02,"California","San Bernardino","1365 South Waterman Avenue",16,19
"156",2015-12-02,"Georgia","Savannah","100 block of West 33rd Street",1,3
"157",2015-11-29,"Illinois","Kankakee","648 E. Court St",0,5
"158",2015-11-27,"Colorado","Colorado Springs","3480 Centennial Blvd",3,9
"159",2015-11-27,"California","Sacramento","7900 block of Florin Road",2,2
"160",2015-11-24,"South Carolina","Horry (county)","1321 Colletta Court",0,4
"161",2015-11-23,"Ohio","Columbus","90 block of S. Terrace Avenue",4,1
"162",2015-11-23,"Minnesota","Minneapolis","Morgan Avenue North",0,5
"163",2015-11-22,"Texas","Brownsville","1800 Block of FM 802",0,4
"164",2015-11-22,"Washington","Seattle","Broadway and Pike",0,4
"165",2015-11-22,"Louisiana","New Orleans","1900 block of Gallier Street",0,17
"166",2015-11-22,"New York","Newburgh","203 Broadway",0,5
"167",2015-11-22,"South Carolina","North Charleston","Park Circle",1,3
"168",2015-11-22,"Illinois","Chicago","4100 block of West Roosevelt",0,4
"169",2015-11-21,"Maryland","Baltimore","Stricker and School",1,3
"170",2015-11-20,"Pennsylvania","Pittsburgh","Prospect Drive",1,3
"171",2015-11-18,"California","Fresno","California Avenue and Martin Luther King Jr. Boulevard",0,5
"172",2015-11-16,"Alabama","Cherokee (county)","1400 block of County Road 664",3,1
"173",2015-11-15,"Pennsylvania","Philadelphia","5600 block of Blakemore Street",0,4
"174",2015-11-15,"Texas","Tennessee Colony","800 Block of County Road 2217",5,0
"175",2015-11-14,"Pennsylvania","Johnstown","1159 Main St",0,4
"176",2015-11-13,"Florida","Jacksonville","1300 block of South Shirley Oaks Drive",4,1
"177",2015-11-09,"Indiana","Indianapolis","400 block of North Beville Ave",2,2
"178",2015-11-08,"Iowa","Des Moines","4397 NW 6th Drive",1,3
"179",2015-11-08,"Michigan","Warren","13859 8 Mile Road",0,4
"180",2015-11-07,"Colorado","Denver","Bayaud and Bannock",1,3
"181",2015-11-06,"California","Bakersfield","1000 block of Feliz Drive",0,4
"182",2015-11-03,"Florida","Jacksonville","Ella Street and Kings Road",2,3
"183",2015-11-02,"South Carolina","Pendleton","2217 Refuge Road",4,0
"184",2015-10-28,"Louisiana","Houma","400 Block of Morgan Street",1,3
"185",2015-10-27,"Texas","Fort Worth","1700 Block of Southcrest Drive",0,5
"186",2015-10-26,"Indiana","Evansville","711 E Virginia St",0,5
"187",2015-10-25,"North Carolina","Four Oaks","2339 Stricklands Crossroads Road",0,5
"188",2015-10-25,"Arizona","Phoenix","Seventh Street and Broadway",1,4
"189",2015-10-25,"District of Columbia","Washington","4300 block of Wheeler Road SE",0,5
"190",2015-10-24,"South Carolina","Bamberg","682 Dixie Ave.",0,4
"191",2015-10-22,"Tennessee","Nashville","3500 John A. Merritt Boulevard",1,3
"192",2015-10-19,"Illinois","Calumet City","300 Campbell Avenue",0,6
"193",2015-10-18,"Louisiana","New Orleans","2600 block of Caffin Avenue",0,4
"194",2015-10-17,"Florida","Fort Myers","2224 First St",1,4
"195",2015-10-17,"Indiana","Elkhart","160 Easy Shopping Place",0,4
"196",2015-10-12,"Georgia","Decatur","4731 Glenwood Road",0,4
"197",2015-10-10,"Tennessee","Memphis","6135 Mount Moriah Road",0,6
"198",2015-10-10,"North Carolina","Charlotte","1900 block of West Boulevard",0,4
"199",2015-10-10,"Illinois","Peoria","2405 North Flora",1,3
"200",2015-10-09,"Arizona","Flagstaff","216 E Mountain View Drive",1,3
"201",2015-10-06,"Maryland","Baltimore","300 block of North Payson Street",0,5
"202",2015-10-02,"Maryland","Baltimore","5400 Reisterstown Road",1,4
"203",2015-10-01,"Oregon","Roseburg","1140 Umpqua College Rd",10,9
"204",2015-09-28,"Ohio","Cincinnati (Evanston)","1800 block of Hewitt Avenue",0,5
"205",2015-09-28,"Illinois","Chicago","300 block of West 42nd Street",3,2
"206",2015-09-28,"Illinois","Chicago","5300 block of South Aberdeen Street",2,3
"207",2015-09-28,"Ohio","Dayton","1921 Oakridge",0,4
"208",2015-09-27,"Georgia","Greenville","1140 Hill Haven Road",0,10
"209",2015-09-27,"Illinois","Chicago","5200 block of South Justine",0,4
"210",2015-09-27,"Missouri","Kansas City","1700 E. 18th St.",0,4
"211",2015-09-25,"Illinois","Danville","1300 block of May Street",0,4
"212",2015-09-24,"Illinois","Chicago","5100 block of South Morgan Street",0,5
"213",2015-09-23,"Louisiana","Shreveport","2900 Block of Peach Street",0,5
"214",2015-09-23,"Florida","Fort Myers","Dale Street and Veronica S. Shoemaker Boulevard",0,4
"215",2015-09-23,"Georgia","Norcross","1300 block of Reddington Lane",1,3
"216",2015-09-20,"Pennsylvania","Philadelphia","900 block of Pratt Street",1,3
"217",2015-09-20,"Illinois","Chicago","5700 block of South LaSalle",1,5
"218",2015-09-20,"Oklahoma","Tulsa","Pine and Yale",0,6
"219",2015-09-19,"Indiana","Indianapolis","3900 block of Graceland Avenue",1,3
"220",2015-09-17,"South Dakota","Platte","36705 379th Street",6,0
"221",2015-09-17,"Michigan","Albion","500 block of W. Broadwell Street",0,4
"222",2015-09-15,"New Jersey","Newark","Irvine Turner Boulevard and West Kinney Street",0,4
"223",2015-09-13,"Florida","Ocala","1910 South Pine Avenue",1,5
"224",2015-09-12,"Louisiana","Shreveport","1500 block of Clanton Street",0,4
"225",2015-09-12,"New York","Rochester","36 Woodward Street",2,4
"226",2015-09-12,"Minnesota","Minneapolis","1st Ave. and N. 5th St.",0,6
"227",2015-09-12,"Minnesota","Minneapolis","1200 block of 22nd Ave. N.",1,3
"228",2015-09-11,"North Carolina","Charlotte","1000 North Carolina Music Factory Blvd.",0,5
"229",2015-09-10,"Minnesota","Excelsior (Greenwood)","Channel Drive",5,0
"230",2015-09-08,"Georgia","Berlin","N/A",0,4
"231",2015-09-08,"Illinois","Chicago","56th and Green",0,4
"232",2015-09-07,"Indiana","Gary","9300 block of Sunrise",2,4
"233",2015-09-07,"Colorado","Denver","1909 Blake Street",0,4
"234",2015-09-05,"North Carolina","Charlotte","6800 block of Fieldvale Place",1,3
"235",2015-09-05,"Florida","Daytona Beach","300 block of Pearl Street",0,4
"236",2015-09-05,"Nevada","Las Vegas","5000 Block of Hollywood Boulevard",1,3
"237",2015-09-05,"Missouri","Columbia","1509 Ashley Street",0,4
"238",2015-08-30,"Tennessee","Memphis","3300 block of Sobota Circle",1,4
"239",2015-08-29,"Tennessee","Bristol","618 Henson Road",3,2
"240",2015-08-29,"Texas","Tyler","638 ENE Loop 323",1,3
"241",2015-08-28,"New York","Brooklyn","589 Flatbush Avenue",1,3
"242",2015-08-27,"California","Salinas","928 Blanco Circle",2,2
"243",2015-08-26,"Minnesota","Minneapolis (Brooklyn Center)","5000 block of Drew Avenue North",0,4
"244",2015-08-26,"Florida","West Palm Beach","800 block of 19th Street",2,2
"245",2015-08-26,"Illinois","Chicago","3025 W. Van Buren Ave",1,3
"246",2015-08-25,"Louisiana","New Orleans","Fern Street and Olive Street",1,3
"247",2015-08-23,"California","Modesto","1100 block of Kansas Avenue",1,7
"248",2015-08-22,"Florida","Orlando (Pine Hills)","State Road 408",0,4
"249",2015-08-22,"New Mexico","Roswell","302 East Reed Street",3,1
"250",2015-08-21,"North Carolina","Durham","2700 block of Hinson Drive",0,8
"251",2015-08-21,"Ohio","Cincinnati","Mathis and Prentice",2,5
"252",2015-08-20,"Texas","Grulla (La Grulla)","FM 2360",2,2
"253",2015-08-19,"New York","Rochester","500 Genesee Street",3,4
"254",2015-08-16,"Texas","Fort Worth","3651 Sycamore School Rd",0,6
"255",2015-08-16,"Illinois","Chicago","5400 block of West Division Street",0,4
"256",2015-08-16,"South Carolina","Bennettsville","Highway 38N",0,5
"257",2015-08-15,"Pennsylvania","Pittsburgh","West Prospect Avenue",1,3
"258",2015-08-15,"California","Los Angeles","57th Street and South Normandie Avenue",0,4
"259",2015-08-15,"South Carolina","Orangeburg","2868 Bamberg Road",1,3
"260",2015-08-10,"California","Long Beach","1700 block of East 10th Street",0,4
"261",2015-08-09,"Mississippi","Forest","Poplar Street",1,3
"262",2015-08-09,"Michigan","Detroit","15200 block of Hazelridge",1,3
"263",2015-08-09,"Missouri","Kansas City","40th Street and Pennsylvania Avenue",0,4
"264",2015-08-08,"North Carolina","Gastonia","4908 Greenwood Drive",2,3
"265",2015-08-08,"Arkansas","Blytheville","833 Anderson Street",1,11
"266",2015-08-08,"Texas","Houston","2211 Falling Oaks",8,0
"267",2015-08-07,"Vermont","Barre (Berlin)","3182 Airport Road",4,0
"268",2015-08-06,"South Carolina","Columbia","1505 Garden Plaza",0,4
"269",2015-08-04,"Missouri","Saint Louis","2500 block of Semple",1,4
"270",2015-08-03,"New York","Brooklyn","98 Dwight Street",0,5
"271",2015-08-02,"New York","Brooklyn","Stanley Avenue and Crescent Street",0,9
"272",2015-08-02,"Maryland","Baltimore","2700 block of Garrison Avenue",0,7
"273",2015-08-02,"Illinois","Chicago","4800 block of West Kamerling Avenue",1,4
"274",2015-08-02,"Georgia","Savannah","Barnard Street",0,5
"275",2015-08-02,"Illinois","Chicago","6700 block of South Winchester Avenue",0,4
"276",2015-08-01,"Florida","Orlando","5801 Shenandoah Way",0,4
"277",2015-07-30,"Pennsylvania","Pittsburgh","Brushton Avenue",0,4
"278",2015-07-27,"Illinois","Rockford","900 block of Kent Street",0,5
"279",2015-07-26,"Missouri","Kansas City","Thompson and Colorado",2,3
"280",2015-07-26,"Louisiana","New Orleans","Piety and Treasure street",0,4
"281",2015-07-25,"Virginia","Hopewell","500 block of N. 7th Ave",0,4
"282",2015-07-24,"Pennsylvania","Erie","200 block of West 29th Street",2,4
"283",2015-07-23,"Louisiana","Lafayette","3141 Johnson Street",3,9
"284",2015-07-22,"Georgia","Suwanee","5500 block of Old Atlanta Road",5,0
"285",2015-07-21,"Florida","Miami Gardens","Northwest 25th Avenue and Miami Gardens Drive",1,3
"286",2015-07-20,"New York","Bronx","E. 153rd St. and the Grand Concourse",0,6
"287",2015-07-19,"Virginia","Suffolk","100 block of North Capitol Street",0,4
"288",2015-07-19,"Kentucky","Louisville","2928 W Kentucky St",0,6
"289",2015-07-19,"North Carolina","Rocky Mount","Interstate 64 and Raliegh Street",0,4
"290",2015-07-18,"California","San Diego","200 block of South Bancroft Street",0,4
"291",2015-07-18,"California","Santa Paula","Ojai-Santa Paula Street",0,5
"292",2015-07-18,"Oregon","Salem","1550 Weston Ct NE",1,4
"293",2015-07-18,"Louisiana","Baton Rouge","300 Block of Brice Street",2,2
"294",2015-07-17,"Illinois","Chicago","4400 block of W. Maypole",0,5
"295",2015-07-17,"Ohio","Cincinnati (Westwood)","3100 block of Sunshine Avenue",0,4
"296",2015-07-16,"Tennessee","Chattanooga","4051 Amnicola Highway",6,2
"297",2015-07-16,"Texas","Dallas","Singleton and Hampton",0,5
"298",2015-07-15,"Georgia","Atlanta","500 block of Center Hill Avenue",0,5
"299",2015-07-15,"Maryland","Baltimore","3500 block of West Garrison Boulevard",1,3
"300",2015-07-15,"Ohio","Cleveland","700 block of Thornhill",0,7
"301",2015-07-15,"Michigan","Detroit","9200 block of Memorial",0,4
"302",2015-07-15,"South Carolina","Holly Hill","7050 Old State Road",4,1
"303",2015-07-14,"Missouri","Saint Louis","1100 block of Riverview",0,4
"304",2015-07-13,"California","Norwalk","11959 162nd Street",0,4
"305",2015-07-13,"California","Stockton","400 block of McCloud Avenue",1,4
"306",2015-07-12,"Illinois","River Forest","116 Lathrop Avenue",2,3
"307",2015-07-12,"New Jersey","Jersey City","Sip and Van Wagenen avenues",0,4
"308",2015-07-07,"Maryland","Baltimore","900 block of West Fayette Street",3,1
"309",2015-07-05,"Louisiana","Shreveport","3500 block of Hearne Avenue",0,8
"310",2015-07-05,"Indiana","Fort Wayne","1400 block of McCulloch Street",0,9
"311",2015-07-05,"New Jersey","East Orange","200 block of S. Clinton St",1,3
"312",2015-07-04,"District of Columbia","Washington","2600 Douglas Place SE",1,3
"313",2015-07-04,"Kentucky","Louisville","2500 block of West Broadway",0,4
"314",2015-07-04,"Massachusetts","Pittsfield","Dewey Avenue",1,4
"315",2015-07-04,"New York","Syracuse","Bellevue and Rich Street",0,4
"316",2015-07-04,"Texas","San Antonio","1100 block of West Avenue",0,4
"317",2015-07-02,"Indiana","Indianapolis","Lynn and Michigan",1,3
"318",2015-06-29,"Florida","Opa Locka","13450 N.W. 30th Ave",0,4
"319",2015-06-28,"Michigan","Detroit","Gratiot and Loretto",0,5
"320",2015-06-28,"Illinois","Venice","N/A",0,6
"321",2015-06-28,"Delaware","Harrington","100 block of East St",0,6
