"Incident Date",State,"City Or County",Address,"Killed","Injured",Operations
"May 6, 2016",Michigan,Detroit,"12300 Block of Gratiot",1,4,N/A
"May 6, 2016",Alabama,Montgomery,"1300 block of Clay Street",1,3,N/A
"May 6, 2016",Maryland,Bethesda,"7101 Democracy Blvd",3,3,N/A
"May 5, 2016",Louisiana,Shreveport,"300 block of North Thomas Drive",2,6,N/A
"May 5, 2016",Florida,Miami,"2108 NW 19th Terrace",1,3,N/A
"May 4, 2016",Minnesota,Minneapolis,"16th Avenue North and Newton Avenue North",1,7,N/A
"May 1, 2016",Tennessee,Murfreesboro,"1955 Old Castle Drive",0,5,N/A
"April 29, 2016",Missouri,"Saint Louis (Ferguson)","400 block of Dade Avenue",0,4,N/A
"April 29, 2016",California,Oakland,"3200 block of San Pablo Avenue",0,5,N/A
"April 27, 2016",Louisiana,"Baton Rouge","Kerrit Drive",1,3,N/A
"April 27, 2016",Mississippi,Kilmichael,"Pecan Drive",3,1,N/A
"April 26, 2016",Maryland,"District Heights (Forestville)","6500 block of Hil-Mar Drive",1,4,N/A
"April 25, 2016",Tennessee,Nashville,"400 Charlotte Avenue",0,4,N/A
"April 25, 2016",Florida,Miami,"1506 Northwest 70th Street",0,5,N/A
"April 24, 2016",Virginia,Halifax,"1055 L P Bailey Memorial Hwy",0,5,N/A
"April 24, 2016",Illinois,"Chicago (Englewood)","2000 block of West 68th Place",2,3,N/A
"April 24, 2016",Colorado,Denver,"1400 Block of 14th Street",0,4,N/A
"April 23, 2016",Nevada,"Las Vegas","1650 South Hollywood Boulevard",1,3,N/A
"April 23, 2016",Alabama,Auburn,"1200 block of Lee Road 83",3,1,N/A
"April 23, 2016",Kansas,Topeka,"3732 S.W. Topeka Boulevard",1,4,N/A
"April 23, 2016","New York","New York (Manhattan)","West 141st Street and Edgecombe Avenue",0,4,N/A
"April 22, 2016",Ohio,Piketon,"4077 Union Hill Road",8,0,N/A
"April 22, 2016",Georgia,Appling,"3162 Johnson Drive",6,0,N/A
"April 21, 2016",Maryland,Baltimore,"4800 block of Frankford Avenue",0,4,N/A
"April 19, 2016",Alabama,Blountsville,"81551 Us Highway 278",1,4,N/A
"April 19, 2016",Illinois,Chicago,"2700 block of West 53rd Street",1,3,N/A
"April 19, 2016",Illinois,Chicago,"1400 block of West 84th Street",1,4,N/A
"April 18, 2016",California,"Long Beach","1200 block of E. 17th Street",1,3,N/A
"April 17, 2016",Pennsylvania,Philadelphia,"600 block of Westmoreland Street",3,1,N/A
"April 17, 2016","South Carolina",Pelzer,"200 block of Eastview Road",1,3,N/A
"April 17, 2016",Texas,Edinburg,"5021 W St Hwy 107",1,6,N/A
"April 16, 2016",Michigan,Detroit,"9500 block of Oakland",1,4,N/A
"April 16, 2016",Florida,Orlando,"1100 block of Conley Street",2,4,N/A
"April 16, 2016",Alabama,Enterprise,"Baxter Street",0,4,N/A
"April 14, 2016","New Jersey",Orange,"Taylor Street",1,3,N/A
"April 10, 2016",Wisconsin,Milwaukee,"76th and Sheridan",1,3,N/A
"April 10, 2016",California,"Los Angeles","84th Street and Towne Avenue",0,4,N/A
"April 9, 2016",Tennessee,Memphis,"Mt Moriah Road and Ridgeway Road",0,4,N/A
"April 9, 2016",Alabama,Anniston,"West 15th Street and Crawford Avenue",0,4,N/A
"April 9, 2016","New Mexico",Albuquerque,"2600 block of Mesa Drive SE",0,4,N/A
"April 7, 2016",Illinois,Chicago,"2200 block of East 70th Place",0,4,N/A
"March 31, 2016",Illinois,"Chicago (Englewood)","6800 block of South Throop",0,4,N/A
"March 25, 2016",Illinois,Chicago,"4500 block of West West End Avenue",0,4,N/A
"March 25, 2016",Colorado,Denver,"8501 E. Alameda Avenue",0,4,N/A
"March 21, 2016",Illinois,Chicago,"5700 block of West Washington Boulevard",0,4,N/A
"March 19, 2016",Florida,Plantation,"12050 NW 4th Court",1,4,N/A
"March 19, 2016",Alabama,Wetumpka,"South Shelby Street",2,2,N/A
"March 15, 2016",Georgia,Atlanta,"Donald Lee Hollowell Drive",0,5,N/A
"March 13, 2016",Florida,"Fort Myers","50 South Road",0,4,N/A
"March 12, 2016",Oregon,Portland,"16126 S.E. Stark St.",0,4,N/A
"March 12, 2016",California,Oakland,"Interstate 880",0,4,N/A
"March 11, 2016",Michigan,Detroit,"2600 Block of Hazelwood",2,2,N/A
"March 11, 2016","New Jersey",Trenton,"Oliver Avenue",0,5,N/A
"March 9, 2016",Pennsylvania,"Pittsburgh (Wilkinsburg)","1304 Franklin Avenue",5,3,N/A
"March 8, 2016",Texas,"San Antonio","Sherman Street",2,3,N/A
"March 7, 2016",Louisiana,Lafayette,"800 block of Martin Luther King Jr. Drive",0,4,N/A
"March 7, 2016",Kansas,"Kansas City","3000 block of South 36th Street",5,0,N/A
"March 6, 2016",Massachusetts,Chelsea,"120 Washington Avenue",1,6,N/A
"March 6, 2016",Georgia,Roswell,"890 Atlanta St",0,4,N/A
"March 6, 2016",California,Compton,"900 block of West Victoria Street",1,8,N/A
"March 5, 2016",Kansas,Wichita,"116 North Mead",0,4,N/A
